Abf1,Abf2,Aca1,Ace2,Adr1,Aft1,Arg81,Aro80,Asg1,Ash1,Azf1,Bas1,Cat8,Cbf1,Cha4,Com2,Crz1,Cst6,Cup9,Cyc8,Dal80,Dal81,Dot6,Ecm22,Eds1,Env11,Ert1,Fhl1,Fkh1,Fkh2,Gal11,Gal4,Gat1,Gcn4_lowN,Gcr1,Gis1,Gln3,Gsm1,Gzf3,Haa1,Hac1,Hal9,Hap1,Hap2,Hap4,Hcm1,Hms1,Hms2,Hot1,Hsf1,Ino2,Itc1,Ixr1,Leu3,Lys14,Mbp1,Mcm1,Met31,Met32,Mga1,Mga2,Mig1,Mig2,Mig3,Mot3,Msn1,Msn2,Msn4,Mss11,Nfi1,Nhp6A,Nhp6B,Nrg1,Nrg2,Nsi1,Oaf1,Oaf3,Pdc2,Pdr1,Pdr3,Pdr8,Phd1,Pho2,Pho4,Pip2,Ppr1,Pul4,Put3,Rap1,Rdr1,Rds1,Rds2,Reb1,Rfx1,Rgm1,Rgt1,Rlm1,Rml1,Rox1,Rph1,Rpn4,Rsc3,Rsf2,Rtg1,Rtg3,Sfl1,Sfp1,Sip4,Siz1,Skn7,Sko1,Smp1,Sok2,Spt20,Spt23,Stb4,Stb5,Ste12,Stp1,Stp2,Stp3,Stp4,Sum1,Sut1,Sut2,Swi4,Swi5,Tbs1,Tda9,Tea1,Tec1,Tod6,Tog1,Tos8,Tye7,Uga3c,Ume6,Upc2,Urc2,Usv1,Vhr1,Vhr2,Vid22,War1,YJL206C,YKL222C,YLR278C,Yap1,Yap2,Yap3,Yap4,Yap5,Yap6,Yap7,Yhp1,Yox1,Yrr1,Zap1,Znf1,Msn2_DBD,Msn2_DBDOE,Msn2nonDBD,Sok2_DBD
252.3585536,323.9406934,683.0397263,202.5585308,126.3170337,527.2666624,497.7182388,467.4448365,147.9829504,109.4423452,440.555299,0,723.5239469,2332.68545,1102.881674,650.0012912,131.4041251,573.4686376,156.0161168,75.30837066,544.6074948,221.7215391,155.4673917,269.7564277,195.1967213,315.7607054,181.6864825,131.8836373,883.9388614,437.2805988,254.2475968,709.4923673,91.39180581,925.5536583,13.28149803,297.037557,0,543.8694436,403.8261581,213.6302183,639.6856435,248.3545892,301.6362268,212.2589365,0,1587.015329,556.4217445,467.6959565,82.053084,585.2265412,359.2362441,565.4603729,72.12093107,449.0050018,174.4450743,1366.238156,125.1847369,403.1974302,0,261.3583107,264.5166693,137.6191568,291.6506919,343.1924459,92.01766128,253.391033,104.4289051,201.9609249,192.3959619,793.1601765,439.5204999,324.3464232,121.8564866,127.5112792,276.6534174,304.5021178,600.8386387,1723.658093,167.5358292,444.5869634,274.9382163,551.9434794,632.1996783,398.1872525,226.2337872,831.077272,397.0328513,790.7782981,247.1157955,1389.58665,586.3286671,458.1308166,235.8925642,181.2352633,596.6351802,17.43910004,529.2632061,567.586702,266.484811,730.9098891,492.275535,945.5282742,262.4730391,81.30709282,327.8748752,271.1180424,344.7388131,821.6489633,877.395287,186.9208235,187.7886838,481.9204278,78.22838008,254.5788569,473.4771471,456.8938702,788.0878367,389.6383082,583.2229123,170.902305,390.066659,491.318124,1050.240965,296.2781498,493.5348345,1333.020947,788.0960425,790.2597982,339.7644639,803.4855715,201.016876,482.9586025,647.0500448,435.6816257,232.6284691,1598.355841,586.2284799,353.0132262,465.114793,567.9519,321.6230637,389.9450595,228.0560923,795.2075043,952.3569307,629.423921,357.1969781,493.0877204,621.4046198,696.1820824,349.6195262,977.9957423,424.7959624,414.1094282,792.3568495,465.7744697,394.8235741,643.8219117,830.4234316,330.3767388,351.7626752,463.5845871,707.0650517
2648.140476,0,705.5491674,275.3883976,512.7035165,952.793504,2016.673034,1825.814874,1577.685976,1077.028415,260.1507642,0,2049.789916,3604.129235,595.7159668,1947.59523,397.7289002,954.1099677,534.1392192,741.6733474,990.4568906,333.6296945,1038.486184,1095.814916,1731.638512,896.7334463,2552.809204,830.8040378,1313.208238,1567.695456,1110.690751,545.8320056,9416.125447,677.9474395,635.0826867,710.7305993,1885.611277,1188.08854,1087.769088,924.8061398,562.2790907,393.2277996,962.8050232,807.2487519,0,1748.777222,562.0421662,169.9332352,168.2015091,5674.924036,3953.635954,1924.008895,315.0535337,566.5913797,7747.436682,2920.894109,1577.00253,1197.885904,0,950.0187273,547.0604402,822.6698537,1164.272065,1242.699581,833.618575,0,842.6710435,1598.029747,916.1712471,1330.818683,2113.923347,2301.725601,589.5136795,720.0153243,438.9788751,869.3777312,700.2177377,6896.400074,675.2490506,1248.216946,476.8418078,778.5175478,4504.066051,1885.356309,342.7784654,1072.500576,838.1499398,1681.850643,4441.33914,1159.889097,843.7088774,1024.476585,1121.16373,884.2084058,600.4960936,266.1733977,1205.11373,1469.041571,844.235627,2355.644282,696.777344,2850.965162,573.2854599,858.0999347,741.4816783,3340.534352,497.0574284,168.2035531,1050.675397,375.4361119,858.2046989,891.3009661,628.1379562,3318.695219,803.6744775,417.1787054,865.5391101,1272.329899,271.0297525,936.1781277,684.3821063,600.9313216,2739.238275,196.5684775,693.7085356,1930.413411,1007.74538,635.7234115,614.1357841,699.203725,986.2341949,862.2444939,5156.051838,621.1079979,704.9347548,2153.926251,487.4706145,652.3707954,1127.551013,766.8493693,519.6718237,1375.675788,233.9490169,600.9035745,379.3954323,0,2084.702109,1390.27578,1246.188835,1550.817289,600.6932306,1895.140189,687.9612749,1279.042978,1625.734081,1967.802548,500.9412799,1622.125608,903.8454641,899.8752221,1480.251983,2242.234122,1352.257569
3930.54487,343.5734627,946.8253898,936.7963814,3960.398778,1904.638717,1018.38042,907.0769779,3851.351146,1898.032131,4333.292585,295.9942428,1632.372254,2644.965809,1581.115957,1197.375461,4263.203777,1345.444811,952.8040001,1728.150765,752.3644168,1369.334415,2087.091716,1686.06836,1162.63549,6464.91817,1156.186707,1254.666847,1730.798199,2233.224198,12207.58091,641.0870759,3586.436016,3633.955298,1695.362551,1270.834986,3409.813727,743.6543084,811.4131917,830.7841823,763.0654695,596.6810034,1187.582922,1095.397705,0,2983.851135,909.8057565,1132.848415,330.1868755,79502.13891,10142.55174,533.3659628,5343.100586,711.222411,841.6767103,2193.346071,1411.173398,1531.040844,0,4811.993986,3569.610707,3181.893315,1885.95411,1958.798594,1985.987688,630.9737186,3857.369467,3279.574128,2973.392138,3721.401815,1537.119974,1178.503954,2108.094458,2315.888627,336.2511751,1355.414926,505.166364,4429.320108,1883.25148,680.3776615,678.4735263,1277.421957,4394.011948,3108.009876,1106.531734,976.7788227,680.4133241,2022.860425,5631.582814,489.7985122,1063.976752,610.2286963,1074.779325,1703.062277,704.9178482,1020.204954,2614.554094,3123.191948,2171.153797,703.107268,792.9578463,679.4377789,1608.06021,1550.739511,4664.549873,9683.514201,790.2370642,795.3125465,1649.294359,2239.751834,953.8644277,1078.463845,2082.323141,7672.299342,3742.32186,432.9815067,1439.969493,659.0668875,456.2334166,15699.90639,439.1772224,691.2979554,2912.621122,775.2130195,775.6083289,1178.967086,1783.18773,640.7676903,1719.67163,994.228399,943.6576189,973.1845454,864.1754907,1413.442219,2405.589851,6490.606258,2591.895868,2289.689308,295.982141,758.3291199,943.6894228,436.6116546,1994.831574,1123.322822,1386.547336,0,1460.466258,4362.954464,852.4977108,1360.930063,741.409358,819.4389101,1008.031508,332.0704089,1508.550176,1225.895004,574.4222189,3666.579523,881.6265206,1134.536309,876.9888185,5705.168699,4931.992121
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3930.468915,343.5734627,938.1300729,938.076985,3953.635924,1904.638717,1018.38042,907.0769779,3853.892873,1905.678536,4333.292585,295.9942428,1632.372254,2644.965809,1581.115957,1195.799188,4263.203777,1345.444811,952.8040001,1728.150765,757.0300243,1369.334415,2087.091716,1688.152899,1162.63549,6466.298267,1156.186707,1254.666847,1730.798199,2235.794785,12207.58091,641.0870759,3586.436016,3634.465215,1697.921852,1272.577142,3409.813727,743.6543084,811.4131917,830.7841823,763.0654695,598.3536276,1187.582922,1095.397705,0,2983.851135,909.8057565,1132.848415,330.1868755,79502.13891,10142.55174,533.3659628,5343.100586,733.6264892,842.1951119,2193.346071,1411.173398,1533.393565,0,4811.993986,3569.610707,3183.689663,1885.95411,1956.326414,1985.987688,630.9737186,3857.86471,3279.574128,2973.392138,3726.459315,1540.331247,1180.72674,2108.094458,2316.943437,336.2511751,1353.79092,499.9774489,4432.10398,1883.113594,681.5740962,679.9897444,1278.71358,4394.011948,3108.009876,1104.389368,976.7788227,680.4133241,2022.860425,5631.582814,489.7985122,1056.71042,610.2286963,1074.696804,1708.828854,704.9178482,1020.204954,2614.554094,3123.191948,2171.153797,703.107268,792.9578463,687.8035588,1606.212146,1550.739511,4659.525538,9687.300508,787.2884184,795.3125465,1651.977423,2240.380775,953.8644277,1084.179816,2082.323141,7672.299342,3742.32186,444.6181985,1439.969493,659.0668875,456.2334166,15699.90639,441.0149494,690.7000296,2914.850803,775.2130195,775.6083289,1178.967086,1784.637887,645.4955083,1721.993245,996.221444,943.6576189,976.5039339,864.1754907,1414.742062,2405.589851,6490.606258,2593.489778,2291.470707,295.982141,758.3291199,943.6894228,436.6116546,1994.831574,1123.322822,1386.547336,0,1460.466258,4362.954464,851.7837743,1371.869537,744.8137221,819.4389101,1008.031508,335.6825325,1508.550176,1224.835408,574.4222189,3668.985218,881.6265206,1134.536309,876.9888185,5706.455361,4998.50288
1803.282222,323.9406934,567.0814647,147.5323049,436.2249415,1172.562359,592.1869773,268.2513955,342.6973589,2300.965021,119.3351524,28.87037442,1121.676178,863.2470828,666.2782194,666.5172619,600.2399062,487.8102222,295.0038881,289.2526055,746.3610468,601.8670297,515.0745688,286.7217752,325.3278689,974.8993036,792.4079049,222.7294118,675.4291723,467.4917526,605.6250568,1234.642832,45.69590291,289.5894252,555.3517083,342.5067043,518.5431013,1033.596415,523.8824762,467.9519068,745.4616585,244.840346,500.5723811,327.6480228,0,613.1650135,579.6059839,279.4621355,1110.12996,2123.536307,473.9592511,1281.776728,178.9658434,947.0074251,143.0166118,2507.764838,549.024489,936.6021964,0,163.1622522,650.3842734,208.9848991,394.3430684,402.7241894,70.14626859,374.5780488,390.0759232,685.0351389,329.8216489,898.9989516,840.1292069,664.4981801,167.6568548,224.3555718,405.2973485,502.6320956,524.1525642,770.4177703,189.5070308,562.0939412,334.2372905,728.6177446,867.5931755,1119.901648,183.8149521,951.6988055,1093.926006,1073.885737,317.9799659,765.526804,719.0956599,705.2975672,270.6672661,271.852895,584.0199345,36.10442097,292.2738447,375.5703506,363.3883786,1238.798607,944.7137578,1039.563165,350.9850205,131.7735642,319.1729739,326.4272341,450.3845784,646.8593447,791.3087852,188.8483029,412.7665051,814.2569879,64.59119582,738.1185726,577.0443928,286.3096835,224.448477,631.4827753,68.14462347,453.5484248,522.1178288,604.9755074,1003.633512,274.9728491,477.3179808,2375.699726,438.067583,476.6910476,438.0547589,347.8034339,175.1208252,589.9541101,611.0955256,655.4617315,756.0425245,643.4359691,967.5086779,267.3322721,0,534.841264,340.6074161,506.1776155,1470.955261,654.2179302,710.1637804,588.2368884,300.217025,624.0615587,596.254959,630.7302382,476.7406251,938.3543466,531.4127052,426.4721279,859.9070715,497.7562904,415.7312619,698.6846399,763.0550923,426.0453208,808.0456806,834.0639354,786.5187749
389.5114112,1030.720388,431.6398418,192.8245261,943.747835,806.7654104,314.0385486,1095.883968,564.2632928,426.3153108,224.1043942,0,1225.981943,2319.431556,2030.406889,3247.659447,361.3926913,367.6329438,1033.830489,130.700478,585.6831395,435.1712699,394.0846049,248.7219213,1242.160954,4581.3039,630.0513104,493.4824298,729.7961728,340.0235006,1221.89467,303.502275,581.5842188,231.162594,370.2353437,4528.809694,0,1069.656614,409.4381465,323.6821489,553.6509107,406.2912566,1598.237249,552.9869792,0,2295.270104,811.4483774,324.7991492,322.5081109,3724.168899,678.3200478,970.7615215,207.3537213,331.7801036,398.1323685,411.5669519,216.2281819,1308.630703,0,181.7119882,6078.088732,137.2318828,371.1800741,453.3208916,264.3739147,0,2699.808924,4685.020227,699.6216796,1027.900448,1334.231636,1398.739233,255.3515502,518.4086443,500.9432656,776.0888209,650.4865217,1384.441504,295.0767438,709.5675846,688.0523442,865.1178741,1283.96453,1781.661712,443.4696396,1915.476033,550.7543862,867.2574013,219.9956835,0,2244.18193,738.1930661,274.9758946,172.9972968,1027.617992,95.28261367,251.6672687,396.5371456,154.1647667,16131.91615,654.3003094,2981.076807,526.8366619,196.2584999,635.2001437,623.6402299,318.4537423,1482.905642,667.2262255,116.4430425,443.9458993,970.3755465,65.5005978,2771.401621,13498.36545,674.5114987,1203.742404,790.880265,135.5148762,752.9262389,647.3643,617.1405944,3949.104915,933.273686,1183.650254,365.8049144,696.253714,272.1454439,841.4121994,3282.68859,327.4875079,777.9531482,0,1194.797401,0,1178.062333,527.9824776,309.0908551,0,980.8337679,272.4468738,538.129277,3570.010815,296.5956711,0,0,778.6881258,1179.650845,710.5774,542.0534262,387.4840444,1083.714882,572.7341557,1395.442945,1200.480224,1016.312341,737.9907504,2528.685903,1247.691218,12011.67664,4231.948947,869.1598663,415.2505939
345.936116,0,455.8671765,69.44568225,261.3919945,757.1466535,1533.482218,1139.789176,239.1533612,303.2540429,146.4600957,0,804.9376396,1709.054831,1270.213048,836.2179846,162.0615385,212.8589676,588.4026463,69.31085955,786.2553167,459.5141479,383.2203046,233.6730161,1853.380627,271.2699476,2962.311834,501.769399,556.8485121,231.5995561,505.0040831,478.4449664,0,307.4956965,39.13236886,273.3788747,0,1434.237085,475.7142007,823.9181973,591.0251252,258.8330678,4691.515114,222.5133896,0,625.9827557,737.6803431,266.1259132,153.5752909,1257.511576,486.3665862,1462.015896,122.2661201,725.4406154,421.0362903,389.5660378,413.833841,673.0210907,0,192.2845201,2845.336631,152.4369588,385.4077945,323.7749296,42.2695344,0,237.8664605,557.4035019,477.0147815,635.3780783,1260.028564,1207.158364,80.39209294,139.4526569,579.1750637,286.4344443,902.6862922,1158.620656,187.5254073,1057.659471,567.6101666,476.1889241,1050.516434,1187.774475,286.2979228,736.6673412,903.3245977,455.3211266,227.2281798,866.4964634,622.2841067,1810.537242,247.0455492,178.2396391,902.9207061,0,390.5729077,306.3610079,70.07489394,1383.136156,679.432813,4674.749024,144.2458919,56.76898758,200.776924,718.4609305,482.5056701,369.5221596,579.807801,173.9781856,96.74363675,842.9059764,57.315846,907.7451835,1361.618391,1311.393778,445.0801445,505.2306361,0,228.1594663,362.270105,516.9575374,586.3446567,244.1522518,679.0058052,688.6141409,244.2008045,214.3636733,185.3304482,546.5061133,386.5999071,484.8931832,2426.176031,376.1620592,841.1153324,1753.072095,261.9082891,249.5977528,0,768.4428296,201.0920837,898.7833408,329.0957463,1802.833855,676.8170272,0,534.9646757,337.2564977,836.582397,658.3665012,382.1993807,1052.285532,654.4542548,1872.930137,2225.407349,2627.566958,433.0761608,661.0193097,1154.226468,916.9006373,1631.154545,534.0679699,499.2805113
343.7534814,0,455.8671765,69.44568225,261.3919945,952.0006607,1533.482218,1139.789176,239.1533612,303.2540429,146.4600957,0,804.9376396,1709.054831,1270.213048,832.7788441,162.0615385,212.8589676,529.8287708,69.31085955,778.2649801,459.5141479,383.2203046,233.6730161,1853.380627,271.2699476,2962.311834,501.769399,556.8485121,231.5995561,490.6106997,478.4449664,0,307.8047374,39.13236886,273.3788747,0,1434.237085,475.7142007,823.9181973,591.0251252,258.8330678,4691.515114,222.5133896,0,625.9827557,737.6803431,266.1259132,153.5752909,1257.511576,486.3665862,1458.313783,122.2661201,725.4406154,416.7948233,389.5660378,413.833841,686.1726672,0,192.2845201,2852.557531,152.4369588,379.8272521,310.2903139,42.2695344,0,237.5472174,555.2347321,477.0147815,635.3780783,1263.070814,1207.158364,75.79903184,139.4526569,567.151636,304.1508717,902.6862922,1158.620656,187.2747049,1056.571803,575.8804473,469.1437089,1400.688579,1187.774475,286.2979228,736.6673412,903.3245977,455.3211266,228.5269878,866.4964634,622.2841067,1802.210931,244.2984215,178.2396391,902.9207061,0,394.3874805,315.3658441,70.07489394,1379.958995,679.432813,4676.959146,144.2458919,56.76898758,200.776924,711.5767357,482.5056701,369.5221596,579.807801,173.9781856,96.74363675,853.298651,57.315846,907.7451835,1361.618391,1311.393778,445.0801445,505.2306361,0,228.1594663,362.270105,505.3977564,586.3446567,244.1522518,628.9605734,693.1805623,244.2008045,214.3636733,185.3304482,546.5061133,386.5999071,488.0950885,2426.176031,376.1620592,841.1153324,1753.072095,264.0818018,238.1723876,0,768.4428296,201.0920837,898.7833408,329.0957463,1802.833855,676.8170272,0,534.9646757,339.0721391,823.8799439,658.3665012,376.1355786,1052.285532,654.4542548,1872.930137,2225.407349,2627.566958,433.0761608,654.0482624,1029.441578,916.9006373,1631.154545,534.0679699,509.51343
4704.576343,2150.963952,493.0727357,108.594846,213.4980899,1004.34742,2410.662542,2775.268364,241.2390902,1090.6014,251.3279842,0,1564.72425,2780.725116,1233.447145,1340.216023,194.5638015,508.4813762,188.1620957,159.0381923,802.0767952,186.8247319,361.2772399,165.5670344,403.0610765,224.7003189,1637.658685,400.6283343,634.5210673,255.7672366,169.5362243,0,3113.791614,382.2124878,157.0154266,134.3636234,0,1337.316726,457.4491657,315.0888176,659.1910724,192.3099695,802.0120946,300.0393591,0,1340.600238,1292.572637,124.8379085,239.1969133,1760.85862,643.0109246,1642.179093,110.7740502,1166.588003,212.5537991,867.5315869,432.0535168,1130.5927,0,510.3804793,667.8701265,310.374732,685.1019724,363.4527449,51.98109202,0,364.8823943,1052.751645,340.5238263,724.4387877,1660.328789,2054.988755,139.3069161,201.7932424,380.5017005,439.4680383,468.2323429,1879.494541,237.3109136,1540.41178,528.0928721,961.803131,666.6010541,231.2481279,158.4971223,1198.36126,751.704685,1667.349216,192.5629069,927.8413457,860.3962704,368.5639496,390.0471958,291.9010436,430.0077791,18.67921337,663.7776739,530.7500588,225.1078451,592.9814727,652.2389878,831.2113607,240.0418925,121.5760619,168.5798325,603.0405447,413.3322909,1076.750929,648.8431027,76.61704948,333.8385458,807.1404112,79.70205485,1071.195057,519.6182774,596.3246187,1063.910426,1019.575372,158.3005634,325.7497985,338.8627273,568.7358156,1315.59046,125.6910418,737.9052554,462.9140375,601.5396006,484.9680201,220.0188814,1407.274248,155.57435,920.4412865,0,372.7584933,0,1423.229235,739.3341543,132.1187394,1152.496832,592.2823488,309.9979596,1150.520962,517.5856275,992.1867434,724.7332769,0,1279.335739,1175.66923,2562.411378,656.5209338,652.3345869,1224.338822,412.5524509,22984.26308,796.5082413,713.5580785,395.1844436,510.6645969,1070.71261,989.1323064,1432.399414,847.1691111,1944.284181
